epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,191.211,1.11838,1.24618,1.28225,0.76585,0.77778,0.74422,0.52436,1.39635,1.53622,1.49298,0.0011882,0.0011882,0.0011882
43,195.519,1.02326,1.15994,1.24871,0.79389,0.85836,0.79441,0.49613,1.33263,1.69678,1.49841,0.0011684,0.0011684,0.0011684
44,199.89,1.14128,1.29367,1.2704,0.79389,0.85836,0.79441,0.49613,1.33263,1.69678,1.49841,0.0011486,0.0011486,0.0011486
45,204.237,1.19026,1.7836,1.22945,0.79389,0.85836,0.79441,0.49613,1.33263,1.69678,1.49841,0.0011288,0.0011288,0.0011288
46,208.779,1.07606,1.33401,1.18445,0.8548,0.65572,0.71248,0.47449,1.39864,1.78165,1.57885,0.001109,0.001109,0.001109
47,213.028,0.96717,1.1744,1.18508,0.8548,0.65572,0.71248,0.47449,1.39864,1.78165,1.57885,0.0010892,0.0010892,0.0010892
48,217.362,1.12638,1.14611,1.25401,0.86465,0.77778,0.70392,0.48942,1.27917,1.57762,1.48283,0.0010694,0.0010694,0.0010694
49,221.779,1.21735,1.31985,1.31683,0.86465,0.77778,0.70392,0.48942,1.27917,1.57762,1.48283,0.0010496,0.0010496,0.0010496
50,226.041,1.20278,1.19065,1.25206,0.86465,0.77778,0.70392,0.48942,1.27917,1.57762,1.48283,0.0010298,0.0010298,0.0010298
51,230.326,1.0151,1.22014,1.22417,0.85553,0.77778,0.7729,0.48491,1.31923,1.45612,1.48175,0.00101,0.00101,0.00101
52,234.576,1.17162,1.21655,1.2426,0.85553,0.77778,0.7729,0.48491,1.31923,1.45612,1.48175,0.0009902,0.0009902,0.0009902
53,238.982,1.07467,1.32254,1.24886,0.79629,0.87034,0.79913,0.48559,1.34294,1.44817,1.47178,0.0009704,0.0009704,0.0009704
54,243.577,1.08801,1.17399,1.2115,0.79629,0.87034,0.79913,0.48559,1.34294,1.44817,1.47178,0.0009506,0.0009506,0.0009506
55,248.905,0.96859,1.26512,1.17259,0.79629,0.87034,0.79913,0.48559,1.34294,1.44817,1.47178,0.0009308,0.0009308,0.0009308
56,254.189,1.01438,1.07103,1.17826,0.79669,0.87232,0.80738,0.46899,1.35905,1.48419,1.47647,0.000911,0.000911,0.000911
57,258.699,0.98426,1.02979,1.13963,0.79669,0.87232,0.80738,0.46899,1.35905,1.48419,1.47647,0.0008912,0.0008912,0.0008912
58,263.242,0.96527,1.08092,1.10039,0.87303,0.7655,0.79773,0.4736,1.40096,1.44044,1.45766,0.0008714,0.0008714,0.0008714
59,267.812,1.01355,1.26175,1.14707,0.87303,0.7655,0.79773,0.4736,1.40096,1.44044,1.45766,0.0008516,0.0008516,0.0008516
60,272.272,1.14128,1.13977,1.17831,0.87303,0.7655,0.79773,0.4736,1.40096,1.44044,1.45766,0.0008318,0.0008318,0.0008318
61,277.681,1.141,1.15044,1.21055,0.76567,0.77778,0.76318,0.4792,1.36878,1.63405,1.40155,0.000812,0.000812,0.000812
62,282.99,0.96127,1.04118,1.14364,0.76567,0.77778,0.76318,0.4792,1.36878,1.63405,1.40155,0.0007922,0.0007922,0.0007922
63,288.146,0.88333,1.02144,1.1362,0.768,0.77778,0.78592,0.48687,1.34038,1.42729,1.38234,0.0007724,0.0007724,0.0007724
64,293.349,1.09791,1.06386,1.1974,0.768,0.77778,0.78592,0.48687,1.34038,1.42729,1.38234,0.0007526,0.0007526,0.0007526
65,298.382,0.9684,1.1028,1.16221,0.768,0.77778,0.78592,0.48687,1.34038,1.42729,1.38234,0.0007328,0.0007328,0.0007328
66,303.189,0.85505,0.98358,1.10663,0.60004,0.83569,0.71032,0.50586,1.18789,1.41455,1.31863,0.000713,0.000713,0.000713
67,308.231,0.98145,1.07755,1.11835,0.60004,0.83569,0.71032,0.50586,1.18789,1.41455,1.31863,0.0006932,0.0006932,0.0006932
68,313.263,1.10279,1.12985,1.24992,0.82229,0.55556,0.67558,0.47676,1.15869,1.52455,1.32746,0.0006734,0.0006734,0.0006734
69,318.135,0.87637,1.00891,1.14818,0.82229,0.55556,0.67558,0.47676,1.15869,1.52455,1.32746,0.0006536,0.0006536,0.0006536
70,323.191,0.92238,1.01681,1.11663,0.82229,0.55556,0.67558,0.47676,1.15869,1.52455,1.32746,0.0006338,0.0006338,0.0006338
71,327.959,0.87736,0.94406,1.10547,0.82022,0.55556,0.67617,0.47962,1.19867,1.63713,1.36151,0.000614,0.000614,0.000614
72,332.69,0.96459,1.03093,1.22961,0.82022,0.55556,0.67617,0.47962,1.19867,1.63713,1.36151,0.0005942,0.0005942,0.0005942
73,337.498,1.07532,1.0212,1.23946,0.6086,1,0.78521,0.44566,1.41421,1.52184,1.50681,0.0005744,0.0005744,0.0005744
74,342.338,0.96051,1.01282,1.19232,0.6086,1,0.78521,0.44566,1.41421,1.52184,1.50681,0.0005546,0.0005546,0.0005546
75,347.256,0.86803,0.9424,1.09343,0.77684,0.77404,0.74722,0.49002,1.31735,1.54024,1.4717,0.0005348,0.0005348,0.0005348
76,352.002,0.77241,0.95328,1.07898,0.77684,0.77404,0.74722,0.49002,1.31735,1.54024,1.4717,0.000515,0.000515,0.000515
77,357.033,0.86529,0.91415,1.1331,0.77684,0.77404,0.74722,0.49002,1.31735,1.54024,1.4717,0.0004952,0.0004952,0.0004952
78,361.923,0.94874,0.94563,1.15047,0.86037,0.77778,0.77675,0.56023,1.19915,1.39331,1.40162,0.0004754,0.0004754,0.0004754
79,366.812,0.94879,1.14629,1.17034,0.86037,0.77778,0.77675,0.56023,1.19915,1.39331,1.40162,0.0004556,0.0004556,0.0004556
80,371.717,0.80894,0.9425,1.10464,0.86341,0.77778,0.75665,0.57534,1.10082,1.50476,1.32295,0.0004358,0.0004358,0.0004358
81,376.553,1.04026,1.04572,1.1617,0.86341,0.77778,0.75665,0.57534,1.10082,1.50476,1.32295,0.000416,0.000416,0.000416
82,381.427,0.7317,1.02583,1.07623,0.86341,0.77778,0.75665,0.57534,1.10082,1.50476,1.32295,0.0003962,0.0003962,0.0003962
83,386.304,0.93167,0.9345,1.11138,0.88762,0.87875,0.84167,0.58503,1.16089,1.40432,1.36026,0.0003764,0.0003764,0.0003764
84,390.9,0.86493,0.98606,1.13674,0.88762,0.87875,0.84167,0.58503,1.16089,1.40432,1.36026,0.0003566,0.0003566,0.0003566
85,395.655,0.82078,0.96644,1.0907,0.88872,0.88889,0.83877,0.5829,1.18758,1.32202,1.37374,0.0003368,0.0003368,0.0003368
